read_count,sample_ID,subtype
756,SA_9_20,9_20/SA_9_20_H3N2
4,SA_9_21,9_21/SA_9_21_ambiguous
36,SA_9_21,9_21/SA_9_21_H1N1
93,SA_9_21,9_21/SA_9_21_H3N2
18,SA_9_22,9_22/SA_9_22_ambiguous
7244,SA_9_22,9_22/SA_9_22_H1N1
2,SA_9_22,9_22/SA_9_22_H1N2
33,SA_9_22,9_22/SA_9_22_H3N2
15,SA_9_23,9_23/SA_9_23_ambiguous
597,SA_9_23,9_23/SA_9_23_H1N1
1,SA_9_23,9_23/SA_9_23_H1N2
168,SA_9_23,9_23/SA_9_23_H3N2
11,SA_9_24,9_24/SA_9_24_ambiguous
127,SA_9_24,9_24/SA_9_24_H1N1
16,SA_9_24,9_24/SA_9_24_H3N2
8,SA_9_25,9_25/SA_9_25_ambiguous
305,SA_9_25,9_25/SA_9_25_H1N1
109,SA_9_25,9_25/SA_9_25_H3N2
6,SA_9_26,9_26/SA_9_26_ambiguous
94,SA_9_26,9_26/SA_9_26_H1N1
34,SA_9_26,9_26/SA_9_26_H3N2
205,SA_9_27,9_27/SA_9_27_ambiguous
17576,SA_9_27,9_27/SA_9_27_H1N1
56,SA_9_27,9_27/SA_9_27_H3N2
4,SA_9_28,9_28/SA_9_28_ambiguous
53,SA_9_28,9_28/SA_9_28_H1N1
1,SA_9_28,9_28/SA_9_28_H1N2
24,SA_9_28,9_28/SA_9_28_H3N2
15,SA_9_29,9_29/SA_9_29_ambiguous
216,SA_9_29,9_29/SA_9_29_H1N1
62,SA_9_29,9_29/SA_9_29_H3N2
47,SA_9_2,9_2/SA_9_2_ambiguous
668,SA_9_2,9_2/SA_9_2_H1N1
90,SA_9_2,9_2/SA_9_2_H3N2
9307,SA_9_30,9_30/SA_9_30_ambiguous
321,SA_9_30,9_30/SA_9_30_H1N1
1,SA_9_30,9_30/SA_9_30_H1N2
13684,SA_9_30,9_30/SA_9_30_H3N2
11,SA_9_3,9_3/SA_9_3_ambiguous
98,SA_9_3,9_3/SA_9_3_H1N1
4228,SA_9_3,9_3/SA_9_3_H3N2
15,SA_9_4,9_4/SA_9_4_ambiguous
2371,SA_9_4,9_4/SA_9_4_H1N1
44,SA_9_4,9_4/SA_9_4_H3N2
54,SA_9_5,9_5/SA_9_5_ambiguous
11585,SA_9_5,9_5/SA_9_5_H1N1
5,SA_9_5,9_5/SA_9_5_H1N2
105,SA_9_5,9_5/SA_9_5_H3N2
22,SA_9_6,9_6/SA_9_6_ambiguous
374,SA_9_6,9_6/SA_9_6_H1N1
38,SA_9_6,9_6/SA_9_6_H3N2
12,SA_9_7,9_7/SA_9_7_ambiguous
218,SA_9_7,9_7/SA_9_7_H1N1
253,SA_9_7,9_7/SA_9_7_H3N2
12,SA_9_8,9_8/SA_9_8_ambiguous
119,SA_9_8,9_8/SA_9_8_H1N1
10,SA_9_8,9_8/SA_9_8_H3N2
13,SA_9_9,9_9/SA_9_9_ambiguous
453,SA_9_9,9_9/SA_9_9_H1N1
43,SA_9_9,9_9/SA_9_9_H3N2
2,SA_NC,NC/SA_NC_ambiguous
13,SA_NC,NC/SA_NC_H1N1
5,SA_NC,NC/SA_NC_H3N2
7,W143,ambiguous
68,W143,H1N1
31,W143,H3N2
14,W144,ambiguous
87,W144,H1N1
1,W144,H1N2
38,W144,H3N2
14,W145,ambiguous
58,W145,H1N1
39,W145,H3N2
5,W146,ambiguous
57,W146,H1N1
1,W146,H1N2
37,W146,H3N2
10,W147,ambiguous
79,W147,H1N1
28,W147,H3N2
5,W148,ambiguous
35,W148,H1N1
20,W148,H3N2
14,W149,ambiguous
57,W149,H1N1
42,W149,H3N2
40,W150,ambiguous
142,W150,H1N1
1,W150,H1N2
41,W150,H3N2
20,W151,ambiguous
101,W151,H1N1
70,W151,H3N2
115,W152,ambiguous
34,W152,H1N1
2,W152,H1N2
262,W152,H3N2
94,W153,ambiguous
108,W153,H1N1
278,W153,H3N2
9,W154,ambiguous
122,W154,H1N1
1,W154,H1N2
33,W154,H3N2
7,W155,ambiguous
57,W155,H1N1
19,W155,H3N2
153,W156,ambiguous
104,W156,H1N1
117,W156,H3N2
23,W157,ambiguous
152,W157,H1N1
102,W157,H3N2
20,W158,ambiguous
112,W158,H1N1
1,W158,H1N2
64,W158,H3N2
6,W159,ambiguous
5,W159,H16N3
57,W159,H1N1
38,W159,H3N2
15,W160,ambiguous
63,W160,H1N1
36,W160,H3N2
12,W161,ambiguous
68,W161,H1N1
34,W161,H3N2
19,W162,ambiguous
100,W162,H1N1
45,W162,H3N2
15,W163,ambiguous
70,W163,H1N1
45,W163,H3N2
9,W164,ambiguous
100,W164,H1N1
54,W164,H3N2
12,W165,ambiguous
69,W165,H1N1
36,W165,H3N2
19,W166,ambiguous
157,W166,H1N1
91,W166,H3N2
9,W167,ambiguous
71,W167,H1N1
32,W167,H3N2
